_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
6979d927682586564e3836fe,Female,21,1,29.0,1,< 1 Year,No,29166.0,152.0,278,0
6979d927682586564e383792,Male,29,1,37.0,0,1-2 Year,Yes,2630.0,154.0,66,0
6979d927682586564e383724,Female,55,1,28.0,0,> 2 Years,Yes,49146.0,26.0,190,1
6979d927682586564e3836f4,Female,22,1,8.0,1,< 1 Year,No,48773.0,152.0,217,0
6979d927682586564e3836a4,Male,21,1,13.0,1,< 1 Year,No,37710.0,152.0,30,0
6979d927682586564e3835b8,Male,42,1,28.0,0,1-2 Year,Yes,33667.0,124.0,158,0
6979d927682586564e3836d8,Female,28,1,41.0,1,< 1 Year,No,37948.0,152.0,211,0
6979d927682586564e383703,Female,60,1,36.0,1,1-2 Year,Yes,36638.0,124.0,33,0
6979d927682586564e3836b5,Male,45,1,28.0,0,1-2 Year,Yes,42704.0,26.0,116,0
6979d927682586564e3836ba,Female,36,1,15.0,0,1-2 Year,Yes,2630.0,26.0,69,1
6979d927682586564e38360d,Female,22,1,8.0,1,< 1 Year,No,39816.0,152.0,156,0
6979d927682586564e3836f6,Male,21,1,8.0,1,< 1 Year,No,27076.0,160.0,278,0
6979d927682586564e38362e,Female,59,1,39.0,0,1-2 Year,Yes,32775.0,124.0,158,0
6979d927682586564e38377f,Female,24,1,8.0,0,< 1 Year,Yes,42636.0,152.0,155,0
6979d927682586564e383711,Male,50,1,28.0,1,1-2 Year,No,42024.0,122.0,224,0
6979d927682586564e383617,Male,50,1,30.0,0,1-2 Year,Yes,34271.0,26.0,229,1
6979d927682586564e383607,Female,62,1,28.0,0,> 2 Years,Yes,41892.0,155.0,114,0
6979d927682586564e3835fa,Male,69,1,28.0,0,1-2 Year,Yes,29802.0,122.0,158,0
6979d927682586564e3835cb,Female,25,1,28.0,1,< 1 Year,No,76251.0,152.0,107,0
6979d927682586564e3835c2,Female,25,1,8.0,1,< 1 Year,No,27946.0,152.0,223,0
6979d927682586564e3836bc,Female,20,1,35.0,0,< 1 Year,Yes,34281.0,160.0,214,0
6979d927682586564e383656,Male,25,1,28.0,1,< 1 Year,No,101021.0,152.0,49,0
6979d927682586564e383734,Female,47,1,15.0,0,1-2 Year,Yes,2630.0,14.0,166,0
6979d927682586564e383654,Male,24,1,35.0,1,< 1 Year,No,23540.0,152.0,98,0
6979d927682586564e383732,Male,31,1,28.0,0,< 1 Year,Yes,32883.0,26.0,132,0
6979d927682586564e3836d0,Female,49,1,31.0,0,1-2 Year,Yes,2630.0,124.0,32,1
6979d927682586564e3835b1,Female,24,1,50.0,1,< 1 Year,No,48699.0,152.0,289,0
6979d927682586564e3835cd,Male,72,1,41.0,1,1-2 Year,No,32210.0,152.0,233,0
6979d927682586564e383690,Male,25,1,46.0,1,< 1 Year,No,39914.0,152.0,235,0
6979d927682586564e383686,Male,75,1,28.0,0,> 2 Years,Yes,40765.0,124.0,162,0
6979d927682586564e38376a,Male,47,1,46.0,1,1-2 Year,No,2630.0,21.0,270,0
6979d927682586564e383661,Male,42,1,37.0,0,1-2 Year,Yes,36532.0,124.0,268,0
6979d927682586564e383765,Female,24,1,32.0,0,< 1 Year,Yes,2630.0,152.0,107,0
6979d927682586564e3836ea,Male,24,1,8.0,1,< 1 Year,No,35981.0,152.0,231,0
6979d927682586564e38368b,Female,64,1,28.0,1,1-2 Year,Yes,41697.0,26.0,287,0
6979d927682586564e383701,Female,42,1,28.0,0,1-2 Year,Yes,39977.0,124.0,276,0
6979d927682586564e383750,Male,22,1,46.0,1,< 1 Year,No,23810.0,152.0,220,0
6979d927682586564e383640,Female,24,1,22.0,1,< 1 Year,No,34591.0,152.0,125,0
6979d927682586564e38366e,Male,55,1,28.0,0,1-2 Year,Yes,49470.0,124.0,203,0
6979d927682586564e3835e9,Male,60,1,28.0,0,1-2 Year,Yes,66338.0,124.0,73,0
6979d927682586564e383708,Male,57,1,28.0,0,1-2 Year,Yes,19618.0,122.0,96,1
6979d927682586564e38366b,Male,42,1,3.0,0,1-2 Year,Yes,32293.0,124.0,105,1
6979d927682586564e383647,Male,70,1,25.0,1,1-2 Year,No,2630.0,124.0,230,0
6979d927682586564e3836d9,Female,24,1,30.0,1,< 1 Year,No,24414.0,152.0,149,0
6979d927682586564e3836b4,Male,62,1,8.0,0,1-2 Year,Yes,47272.0,26.0,194,0
6979d927682586564e383755,Male,42,1,11.0,0,1-2 Year,Yes,40473.0,124.0,46,0
6979d927682586564e383767,Male,33,1,15.0,1,< 1 Year,No,2630.0,152.0,190,0
6979d927682586564e3835b7,Female,25,1,35.0,1,< 1 Year,No,46622.0,152.0,299,0
6979d927682586564e383666,Male,32,1,46.0,1,< 1 Year,No,23847.0,152.0,183,0
6979d927682586564e383602,Male,77,1,28.0,0,1-2 Year,Yes,36099.0,124.0,139,0
6979d927682586564e383680,Male,22,1,15.0,0,< 1 Year,Yes,32252.0,160.0,100,0
6979d927682586564e3836c1,Male,40,1,48.0,0,> 2 Years,Yes,2630.0,26.0,86,0
6979d927682586564e38361c,Female,23,1,29.0,1,< 1 Year,No,37983.0,152.0,23,0
6979d927682586564e383766,Female,23,1,2.0,1,< 1 Year,No,24881.0,152.0,247,0
6979d927682586564e38372c,Male,20,1,46.0,0,< 1 Year,Yes,49211.0,160.0,284,0
6979d927682586564e3836dc,Female,45,1,28.0,0,> 2 Years,Yes,73929.0,157.0,86,0
6979d927682586564e3835fb,Female,21,1,17.0,0,< 1 Year,Yes,27756.0,160.0,243,0
6979d927682586564e383745,Female,24,1,43.0,0,< 1 Year,Yes,29981.0,152.0,185,0
6979d927682586564e3835f8,Female,39,1,8.0,1,1-2 Year,No,34735.0,152.0,131,0
6979d927682586564e383630,Male,36,1,28.0,1,1-2 Year,No,2630.0,26.0,258,0
6979d927682586564e383606,Male,50,1,28.0,0,1-2 Year,Yes,46995.0,52.0,291,0
6979d927682586564e383795,Male,20,1,8.0,0,< 1 Year,Yes,40115.0,160.0,292,0
6979d927682586564e383682,Female,44,1,28.0,1,1-2 Year,No,2630.0,124.0,114,0
6979d927682586564e3835d7,Male,48,1,3.0,0,1-2 Year,No,38233.0,124.0,246,0
6979d927682586564e3836a5,Female,57,1,28.0,0,> 2 Years,Yes,2630.0,26.0,71,0
6979d927682586564e383696,Male,22,1,46.0,1,< 1 Year,No,30745.0,152.0,147,0
6979d927682586564e3835fe,Female,23,1,35.0,1,< 1 Year,No,27606.0,160.0,114,0
6979d927682586564e38367a,Male,44,1,28.0,0,> 2 Years,Yes,42754.0,124.0,23,1
6979d927682586564e383771,Male,40,1,8.0,1,1-2 Year,No,31839.0,152.0,165,0
6979d927682586564e3835cc,Male,45,1,8.0,0,1-2 Year,Yes,42297.0,124.0,264,0
6979d927682586564e3836fc,Female,49,1,28.0,0,1-2 Year,Yes,48505.0,124.0,271,0
6979d927682586564e3835b9,Female,60,1,33.0,0,1-2 Year,Yes,32363.0,124.0,102,1
6979d927682586564e3836c2,Male,36,1,28.0,0,1-2 Year,Yes,34165.0,124.0,143,0
6979d927682586564e38375e,Male,53,1,39.0,0,1-2 Year,Yes,2630.0,157.0,83,0
